standard_id,title,classification,status,scope,iq300_mapping_level,primary_controls,primary_hcps,primary_evidence,authority_gate
MS 1500:2019,Halal food - General requirements,Product,1st Confirmation 2024,Food and nutrient supplements manufacturing/handling,Family plus detailed source-derived mapping,management|premises|materials|equipment|processing|hygiene|storage|transport|display|packaging|claims|sertu|slaughter-interface,material-origin|equipment-status|process-integrity|sertu|slaughter,certificates|specifications|HCP-records|site-observation|audit-records,AUTH-AUDIT|AUTH-MATERIAL|AUTH-SERTU|AUTH-PROTOCOL|AUTH-LOGO
MS 2400-1:2019,Halal supply chain management system - Part 1: Transportation,Chain,1st Confirmation 2024,Transport by road/sea/air/rail/multimodal,613-series-full-object backbone,leadership|planning|HCP|segregation|traceability|preservation|outsourcing|audit|review,loading|seal|custody|cleaning|segregation|delivery,records|seal-events|temperature|condition|handover|site,AUTH-CHAIN|AUTH-AUDIT
MS 2400-2:2019,Halal supply chain management system - Part 2: Warehousing,Chain,1st Confirmation 2024,Warehouse/storage halal integrity,613-series-full-object backbone,receiving|quarantine|release|reject|return|storage|pest|traceability|dispatch,receiving|status|segregation|storage|return,receiving-records|status-labels|inventory|site|trace,AUTH-CHAIN|AUTH-AUDIT
MS 2400-3:2019,Halal supply chain management system - Part 3: Retailing,Chain,1st Confirmation 2024,Retail-stage halal integrity,613-series-full-object backbone,receiving|display|serving|sale|equipment|staff|claims|returns,receiving|display|utensil|opened-pack|tasting|return,site|records|interviews|trace|labels,AUTH-CHAIN|AUTH-LOGO
MS 2424:2019,Halal pharmaceuticals - General requirements,Product,1st Confirmation,Pharmaceutical manufacturing/handling,Clause-family source map + machine control objects,quality-system|HMS|materials|QC|personnel|training|equipment|storage|transport|documentation|outsourcing|self-inspection|legal|sertu|vaccine-HCP,material-origin|synthetic-route|equipment|line-clearance|vaccine-inputs,origin-files|GMP-records|HMS|QC|lab|site,AUTH-AUDIT|AUTH-MATERIAL|AUTH-SERTU|AUTH-VACCINE|AUTH-LEGAL
MS 2634:2019,Halal cosmetics - General requirements,Product,1st Confirmation 2025,Cosmetics manufacturing/handling,Family map + detailed practice controls,management|INCI-provenance|hygiene|manufacturing|OEM|claims|legal|sertu|qPCR,INCI-source|animal-derivative|OEM|equipment|sertu,INCI-specs|supplier-cert|site|lab|artwork,AUTH-MATERIAL|AUTH-SERTU|AUTH-OUTSOURCE|AUTH-LOGO
MS 2738:2023,Halal consumable goods - General requirements,Product,Original,Consumable goods outside classic food/pharma/cosmetics,Family map,management|materials|premises|process|packaging|legal,material-origin|process-integrity|claims,source-docs|process-records|site|claims,AUTH-AUDIT|AUTH-MATERIAL|AUTH-LOGO
MS 2803:2025,Usage of animal bone skin and hair - General requirements for halal products,Product/material,Original,Use of animal bone skin hair in halal products,Family map + current catalogue verification,species|origin|slaughter-where-applicable|processing|segregation|traceability,animal-source|processing|segregation,source|slaughter-evidence|trace|site,AUTH-MATERIAL|AUTH-AUDIT
MS 2393:2023,Islamic and halal terminologies - Definitions and interpretations,Ontology,1st Revision,Uniform Islamic/Halal vocabulary,Terminology object layer,halal|haram|najs|sertu|fatwa|competent-authority|syubhah|mutlaq-water,terminology-consistency,controlled-vocabulary|source-version,AUTH-GOV
MS 2627:2017,Detection of porcine DNA - Test method - Food and food products,Test method,Published,Porcine DNA PCR in food matrices,Method/evidence object layer,sample|extraction|controls|inhibition|validation|reporting,lab-method|sample|control-validity,lab-report|method-version|QC,AUTH-LAB
MS 2627-2:2025,Detection of porcine DNA - Test method - Part 2: Cosmetics,Test method,Original,Porcine DNA qPCR in cosmetic matrices,Method/evidence object layer,cosmetic-matrix|qPCR|validation|modification,lab-method|matrix-suitability|validation,lab-report|method-version|validation,AUTH-LAB
MS 1900:2025,Shariah-based quality management system - Requirements,System,2nd Revision,Generic organisation-wide Shariah QMS,Family/object map,Shariah-conformity|stakeholders|statutory-requirements|improvement,organisation-QMS,policies|records|review|improvement,AUTH-GOV
MS 2691:2021,Halal profession - General requirements,Profession,Original,Halal professional competence,Family/object map,qualification|training|experience|assessment|role-authorization,competence|role-authorization,credentials|training|assessment|authorization,AUTH-COMPETENCE
MS 2610:2015,Muslim-friendly hospitality services,Service,Referenced,Accommodation|tour packages|tourist guides,Supporting-service mapping,hospitality|service|manual-procedure,service-controls,service-records|site|interview,AUTH-CERT
MS 2809:2025,Authentication of products using chemometric techniques,Authentication method,Original,Quantitative chemical-data authentication using mathematical/statistical modelling,Current catalogue scope mapping,data-provenance|chemometrics|model|statistics|software|validation,chemometric-model|dataset-integrity,analytical-data|model-version|validation,AUTH-LAB
MS 2810:2025,Consumable goods - Test method - Identification of pig skin and hair,Test method,Original,Pig skin/hair identification for specified sample classes,Current catalogue scope mapping,sample-scope|pig-skin|pig-hair|leather|brushes|fur|scope-limitations,sample|test|traceability,test-report|sample-id|scope,AUTH-LAB|AUTH-MATERIAL
