Seq,Phase,EventType,Critical,PrimaryObject,MinimumEvidence,ActorClass,FailureState
001,Programme,E-PROGRAMME-OPEN,YES,Programme,Programme charter,Programme office,STOP
002,Programme,E-ORG-ONBOARD,YES,Organisation,Legal identity,Organisation sponsor,HOLD
003,Facility,E-FACILITY-REGISTERED,YES,Facility,Site record,Facility owner,HOLD
004,Scope,E-SCOPE-CLASSIFIED,YES,Product/Shipment,Scope decision,Compliance owner,HOLD
005,Standards,E-STANDARD-APPLIED,YES,Product/Shipment,Rule-set snapshot,Compliance engine,HOLD
006,Rules,E-REQUIREMENT-RESOLVED,YES,Shipment,Resolution trace,Rule owner,HOLD
007,Material,E-SUPPLIER-REGISTERED,YES,Supplier,Supplier dossier,Supplier manager,HOLD
008,Material,E-MATERIAL-CREATED,YES,Material,Specification,Materials owner,HOLD
009,Material,E-MATERIAL-RECEIVED,YES,Material,Receipt record,Warehouse,HOLD
010,Material,E-MATERIAL-VERIFIED,YES,Material,Certificates/specification/evidence,Assurance owner,HOLD
011,Manufacture,E-BATCH-CREATED,YES,Batch,MES batch record,Production,HOLD
012,Manufacture,E-PROCESS-START,YES,Batch,Work order,MES,STOP
013,Manufacture,E-PROCESS-HCP-CHECK,YES,HCP,Observation/evidence,Authorised operator,HOLD
014,Manufacture,E-BATCH-COMPLETED,YES,Batch,Production record,Production,HOLD
015,Packaging,E-PACKAGING-VERIFIED,YES,Lot,Label/package record,Packaging QA,HOLD
016,Release,E-LOT-RELEASE,YES,Lot,Release decision,Authorised releaser,HOLD
017,Audit,E-AUDIT-OPEN,YES,Audit,Assignment/audit scope,Auditor,HOLD
018,Audit,E-AUDIT-OBSERVATION,YES,Requirement/HCP,Observation evidence,Auditor,FINDING
019,Audit,E-FINDING,YES,Finding,Finding evidence,Auditor,CORRECTIVE-ACTION
020,Audit,E-CAR-OPEN,YES,CAR,Owner/action,Site owner,CORRECTIVE-ACTION
021,Audit,E-CAR-CLOSE,YES,CAR,Effectiveness evidence,Auditor/authority,RE-VERIFICATION
022,Lab,E-SAMPLE-COLLECTED,YES,Sample,Seal/chain record,Sampler,REVIEW
023,Lab,E-SAMPLE-CUSTODY,YES,Sample,Custody evidence,Lab/logistics,HOLD
024,Lab,E-LAB-RESULT,YES,Sample/LabResult,Report/method/controls,Lab,REVIEW
025,Authority,E-AUTHORITY-DECISION,YES,Case/Shipment/Lot,Signed decision,Competent authority,HOLD
026,Shipment,E-SHIPMENT-CREATED,YES,Shipment,Booking/order,Logistics,HOLD
027,Shipment,E-PALLET-CREATED,YES,Pallet,Pallet genealogy,Factory,RECONCILE
028,Shipment,E-CONTAINER-ASSIGNED,YES,Container,Container record,Carrier,HOLD
029,Shipment,E-SEAL-APPLIED,YES,Seal,Photo/identifier,Carrier,HOLD
030,Shipment,E-LOAD-COMPLETED,YES,Container,Load reconciliation,Factory/carrier,HOLD
